drugbank_id	name	type	groups	categories
DB00012	Darbepoetin alfa	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Antianemic Preparations|Biological Factors|Blood and Blood Forming Organs|Carbohydrates|Colony-Stimulating Factors|Cytokines|Erythropoiesis-Stimulating Agents|Erythropoietin|Glycoconjugates|Glycoproteins|Hematinics|Hematologic Agents|Hematopoietic Cell Growth Factors|Increased Erythroid Cell Production|Intercellular Signaling Peptides and Proteins|Peptides|Proteins
DB00013	Urokinase	biotech	approved|investigational|withdrawn	Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs|Blood Proteins|Endopeptidases|Enzymes|Enzymes and Coenzymes|Fibrinolytic Agents|Hydrolases|Increased Thrombolysis|Peptide Hydrolases|Plasminogen Activators|Proteins|Serine Endopeptidases|Serine Proteases
DB00014	Goserelin	small molecule	approved	Adrenal Cortex Hormones|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Hormonal|Antineoplastic and Immunomodulating Agents|Endocrine Therapy|Gonadotropin Releasing Hormone Receptor Agonist|Gonadotropin Releasing Hormone Receptor Agonists|Gonadotropin-releasing hormone agonist|Gonadotropins|Hormones|Hormones and Related Agents|Hormones, Hormone Substitutes, and Hormone Antagonists|Hyperglycemia-Associated Agents|Hypothalamic Hormones|Miscellaneous Therapeutic Agents|Moderate Risk QTc-Prolonging Agents|Nerve Tissue Proteins|Neuropeptides|Oligopeptides|Peptide Hormones|Peptides|Pituitary Hormone-Releasing Hormones|Proteins|QTc Prolonging Agents
DB00015	Reteplase	biotech	approved|investigational	Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs|Blood Proteins|Cardiovascular Agents|Endopeptidases|Enzymes|Enzymes and Coenzymes|Fibrin Modulating Agents|Fibrinolytic Agents|Hematologic Agents|Hydrolases|Peptide Hydrolases|Plasminogen Activators|Proteins|Serine Endopeptidases|Serine Proteases
DB00016	Erythropoietin	biotech	approved	Amino Acids, Peptides, and Proteins|Antianemic Preparations|Biological Factors|Blood and Blood Forming Organs|Carbohydrates|Colony-Stimulating Factors|Cytokines|Erythropoiesis-Stimulating Agents|Erythropoietin|Glycoconjugates|Glycoproteins|Hematinics|Hematologic Agents|Hematopoietic Cell Growth Factors|Increased Erythroid Cell Production|Intercellular Signaling Peptides and Proteins|Peptides|Proteins
DB00017	Salmon Calcitonin	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Bone Density Conservation Agents|Bone Density, drug effects|Calcitonin Preparations|Calcium Homeostasis|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Nerve Tissue Proteins|Neuropeptides|Parathyroid Hormones and Analogues|Peptide Hormones|Peptides|Proteins|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Thyroid Products
DB00018	Interferon alfa-n3	biotech	approved|investigational	Alfa Interferons|Amino Acids, Peptides, and Proteins|Biological Factors|Cytokines|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interferon alpha|Interferon Type I|Interferon-alpha|Interferons|Myelosuppressive Agents|Peptides|Proteins
DB00019	Pegfilgrastim	biotech	approved	Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Carbohydrates|Colony-Stimulating Factors|Cytokines|Glycoconjugates|Glycoproteins|Hematinics|Hematopoietic Cell Growth Factors|Increased Myeloid Cell Production|Intercellular Signaling Peptides and Proteins|Leukocyte Growth Factor|Peptides|Proteins
DB00020	Sargramostim	biotech	approved|investigational	Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Carbohydrates|Colony-Stimulating Factors|Cytokines|Glycoconjugates|Glycoproteins|Hematopoietic Cell Growth Factors|Immunologic Factors|Increased Myeloid Cell Production|Intercellular Signaling Peptides and Proteins|Leukocyte Growth Factor|Peptides|Proteins
DB00022	Peginterferon alfa-2b	biotech	approved	Adjuvants, Immunologic|Alcohols|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Biological Factors|Biomedical and Dental Materials|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 CYP2C9 Inducers|Cytochrome P-450 CYP2C9 Inducers (weak)|Cytochrome P-450 CYP2D6 Inhibitors|Cytochrome P-450 CYP2D6 Inhibitors (weak)|Cytochrome P-450 Enzyme Inducers|Cytochrome P-450 Enzyme Inhibitors|Cytokines|Drug Carriers|Ethylene Glycols|Glycols|Hepatitis C|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interferon alpha|Interferon Type I|Interferons|Macromolecular Substances|Myelosuppressive Agents|Pegylated agents|Peptides|Polymers|Proteins
DB00023	Asparaginase Escherichia coli	biotech	approved|investigational	Amidohydrolases|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Asparaginase|Asparagine-specific Enzyme|Enzymes|Enzymes and Coenzymes|Hydrolases
DB00024	Thyrotropin alfa	biotech	approved|vet_approved	Amino Acids, Peptides, and Proteins|Anterior Pituitary Lobe Hormones and Analogues|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peptide Hormones|Peptides|Pituitary and Hypothalamic Hormones and Analogues|Pituitary Hormones|Pituitary Hormones, Anterior|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Thyroid Products
DB00025	Antihemophilic factor, human recombinant	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Biological Factors|Blood and Blood Forming Organs|Blood Coagulation Factors|Blood Proteins|Carbohydrates|Disaccharides|Hemostatics|Human Antihemophilic Factor|Increased Coagulation Activity|Oligosaccharides|Polysaccharides|Proteins
DB00026	Anakinra	biotech	approved	Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Biologics for Rheumatoid Arthritis Treatment|Cytokines|Disease-modifying Antirheumatic Agents|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interleukin 1 Receptor Antagonists|Interleukin Inhibitors|Interleukin-1 Receptor Antagonist|Peptides|Proteins
DB00027	Gramicidin D	small molecule	approved	Amino Acids, Peptides, and Proteins|Anti-Bacterial Agents|Anti-Infective Agents|Anti-Infective Agents, Local|Membrane Proteins|P-glycoprotein/ABCB1 Inhibitors|P-glycoprotein/ABCB1 Substrates|Peptides|Peptides, Cyclic|Pore Forming Cytotoxic Proteins|Proteins|Throat Preparations|Tyrothricin
DB00028	Immune Globulin Human	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Antibodies|Antigen Neutralization|Blood Proteins|Globulins|Human Immunoglobulin G|Immunoglobulin G|Immunoglobulin Isotypes|Immunoglobulins|Immunologic Factors|Immunoproteins|Passively Acquired Immunity|Proteins|Serum|Serum Globulins
DB00029	Anistreplase	biotech	approved	Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs|Blood Proteins|Cardiovascular Agents|Endopeptidases|Enzymes|Enzymes and Coenzymes|Fibrin Modulating Agents|Fibrinolytic Agents|Hematologic Agents|Hydrolases|Peptide Hydrolases|Plasminogen Activators|Proteins|Serine Endopeptidases|Serine Proteases|Streptokinase
DB00030	Insulin Human	biotech	approved|investigational	Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Blood Glucose Lowering Agents|Drugs Used in Diabetes|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Hypoglycemia-Associated Agents|Insulin|Insulin, Long-Acting|Insulins and Analogues|Insulins and Analogues for Inhalation|Insulins and Analogues for Injection, Fast-Acting|Insulins and Analogues for Injection, Intermediate- or Long-Acting Combined With Fast-Acting|Insulins and Analogues for Injection, Intermediate-Acting|Insulins and Analogues for Injection, Long-Acting|Pancreatic Hormones|Peptide Hormones|Peptides
DB00031	Tenecteplase	biotech	approved	Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs|Blood Proteins|Cardiovascular Agents|Endopeptidases|Enzymes|Enzymes and Coenzymes|Fibrin Modulating Agents|Fibrinolytic Agents|Hematologic Agents|Hydrolases|Peptide Hydrolases|Plasminogen Activators|Proteins|Serine Endopeptidases|Serine Proteases
DB00032	Menotropins	biotech	approved	Amino Acids, Peptides, and Proteins|Biological Products|Complex Mixtures|Fertility Agents|Fertility Agents, Female|Genito Urinary System and Sex Hormones|Gonadotropins|Gonadotropins, Pituitary|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peptide Hormones|Peptides|Pituitary Hormones|Pituitary Hormones, Anterior|Reproductive Control Agents|Sex Hormones and Modulators of the Genital System
DB00033	Interferon gamma-1b	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Biological Factors|Cytokines|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interferon gamma|Interferons|Lymphokines|Macrophage-Activating Factors|Myelosuppressive Agents|Peptides|Proteins
DB00034	Interferon Alfa-2a, Recombinant	biotech	approved|investigational	Adjuvants, Immunologic|Alfa Interferons|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Cytokines|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interferon alpha|Interferon Type I|Interferons|Myelosuppressive Agents|Peptides|Proteins
DB00035	Desmopressin	small molecule	approved	Agents that produce hypertension|Amino Acids, Peptides, and Proteins|Antidiuretic Agents|Arginine Vasopressin|Cardiovascular Agents|Coagulants|Factor VIII Activator|Hematologic Agents|Hemostatics|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Increased Coagulation Factor VIII Activity|Increased Coagulation Factor VIII Concentration|Natriuretic Agents|Nerve Tissue Proteins|Neuropeptides|Oligopeptides|Peptide Hormones|Peptides|Pituitary|Pituitary and Hypothalamic Hormones and Analogues|Pituitary Hormones|Pituitary Hormones, Posterior|Posterior Pituitary Lobe Hormones|Proteins|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Vasopressin Analog|Vasopressin and Analogues|Vasopressins
DB00036	Coagulation factor VIIa Recombinant Human	biotech	approved	Amino Acids, Peptides, and Proteins|Biological Factors|Blood and Blood Forming Organs|Blood Coagulation Factors|Blood Proteins|Endopeptidases|Enzymes|Enzymes and Coenzymes|Factor VII|Hemostatics|Hydrolases|Increased Coagulation Factor IX Activity|Increased Coagulation Factor X Activity|Peptide Hydrolases|Proteins|Serine Endopeptidases|Serine Proteases
DB00038	Oprelvekin	biotech	approved|investigational	Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Cytokines|Intercellular Signaling Peptides and Proteins|Interleukins|Megakaryocyte Growth Factor|Peptides|Proteins
DB00039	Palifermin	biotech	approved	Amino Acids, Peptides, and Proteins|Biological Factors|Detoxifying Agents for Antineoplastic Treatment|Fibroblast Growth Factors|Increased Epithelial Proliferation|Intercellular Signaling Peptides and Proteins|Mucocutaneous Epithelial Cell Growth Factor|Peptides|Proteins
DB00040	Glucagon	biotech	approved	Amino Acids, Peptides, and Proteins|Antihypoglycemic Agent|Decreased GI Motility|Decreased GI Smooth Muscle Tone|Decreased Glycolysis|Gastrointestinal Agents|Gastrointestinal Hormones|Gastrointestinal Motility Inhibitor|Glycogenolytic Agents|Glycogenolytic Hormones|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Hypoglycemia-Associated Agents|Increased Gluconeogenesis|Increased Glycogenolysis|Pancreatic Hormones|Peptide Hormones|Peptides|Proglucagon|Protein Precursors|Proteins|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins
DB00041	Aldesleukin	biotech	approved	Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Anti-HIV Agents|Anti-Infective Agents|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Biological Factors|Cytochrome P-450 CYP2E1 Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 CYP3A4 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Cytokines|Hypotensive Agents|Immunosuppressive Agents|Increased Lymphocyte Activation|Increased Lymphocyte Cell Production|Intercellular Signaling Peptides and Proteins|Interleukins|Lymphocyte Growth Factor|Lymphokines|Myelosuppressive Agents|Peptides|Proteins
DB00042	Botulinum Toxin Type B	biotech	approved|investigational	Acetylcholine Release Inhibitors|Agents that produce neuromuscular block (indirect)|Amino Acids, Peptides, and Proteins|Amphibian Venoms|Anti-Dyskinesia Agents|Bacterial Proteins|Bacterial Toxins|Biological Factors|Bodily Secretions|Botulinum Toxins|Central Nervous System Agents|Central Nervous System Depressants|Cholinergic Agents|Complex Mixtures|Endopeptidases|Enzymes|Enzymes and Coenzymes|Fluids and Secretions|Ganglion Blockers|Hydrolases|Membrane Transport Modulators|Metalloendopeptidases|Metalloproteases|Muscle Relaxants|Muscle Relaxants, Peripherally Acting Agents|Musculo-Skeletal System|Neurotoxins|Neurotransmitter Agents|Other Miscellaneous Therapeutic Agents|Peptide Hydrolases|Proteins|Toxins, Biological|Venoms
DB00043	Omalizumab	biotech	approved|investigational	Agents to Treat Airway Disease|Amino Acids, Peptides, and Proteins|Anti-Allergic Agents|Anti-Asthmatic Agents|Anti-IgE|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Blood Proteins|Decreased IgE Activity|Globulins|IgE-directed Antibody Interactions|Immunoglobulins|Immunoproteins|Proteins|Respiratory Agents, Miscellaneous|Respiratory System Agents|Serum Globulins
DB00044	Lutropin alfa	biotech	approved	Genito Urinary System and Sex Hormones|Gonadotropins|Sex Hormones and Modulators of the Genital System
DB00045	Lyme disease vaccine (recombinant OspA)	biotech	approved|withdrawn	
DB00046	Insulin Lispro	biotech	approved	Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Blood Glucose Lowering Agents|Drugs Used in Diabetes|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Hypoglycemia-Associated Agents|Insulin|Insulin Analog|Insulin, Short-Acting|Insulins and Analogues|Insulins and Analogues for Injection, Fast-Acting|Insulins and Analogues for Injection, Intermediate- or Long-Acting Combined With Fast-Acting|Insulins and Analogues for Injection, Intermediate-Acting|Pancreatic Hormones|Peptide Hormones|Peptides
DB00047	Insulin Glargine	biotech	approved	Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Blood Glucose Lowering Agents|Drugs Used in Diabetes|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Hypoglycemia-Associated Agents|Insulin|Insulin Analog|Insulin, Long-Acting|Insulins and Analogues|Insulins and Analogues for Injection, Long-Acting|Pancreatic Hormones|Peptide Hormones|Peptides
DB00048	Collagenase clostridium histolyticum	biotech	approved|investigational	Collagen-specific Enzyme|Collagenases|Dermatologicals|Endopeptidases|Enzymes|Enzymes and Coenzymes|Hydrolases|Metalloendopeptidases|Metalloproteases|Misc. Skin and Mucous Membrane Agents|Musculo-Skeletal System|Peptide Hydrolases|Preparations for Treatment of Wounds and Ulcers
DB00049	Rasburicase	biotech	approved|investigational	Antigout Preparations|Detoxifying Agents for Antineoplastic Treatment|Enzymes|Enzymes and Coenzymes|Musculo-Skeletal System|Oxidoreductases|Recombinant Proteins|Uric Acid-specific Enzyme
DB00050	Cetrorelix	small molecule	approved|investigational	Amino Acids, Peptides, and Proteins|Anti-Gonadotropin-Releasing Hormones|Decreased GnRH Secretion|Fertility Agents|Fertility Agents, Female|Gonadotropin Releasing Hormone Receptor Antagonists|Gonadotropin-releasing Hormone Antagonists|Hormone Antagonists|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Hypothalamic Hormones|Nerve Tissue Proteins|Neuropeptides|Oligopeptides|Peptide Hormones|Peptides|Pituitary and Hypothalamic Hormones and Analogues|Pituitary Hormone-Releasing Hormones|Proteins|Reproductive Control Agents|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins
DB00051	Adalimumab	biotech	approved	Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Anti-Inflammatory Agents|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic and Immunomodulating Agents|Biologics for Rheumatoid Arthritis Treatment|Blood Proteins|Disease-modifying Antirheumatic Agents|Globulins|Immunoglobulins|Immunoproteins|Immunosuppressive Agents|Proteins|Serum Globulins|Tumor Necrosis Factor Alpha (TNF-α) Inhibitors|Tumor Necrosis Factor Blocker|Tumor Necrosis Factor Receptor Blocking Activity
DB00052	Somatotropin	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Anterior Pituitary Lobe Hormones and Analogues|Growth Hormone|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peptide Hormones|Peptides|Pituitary|Pituitary and Hypothalamic Hormones and Analogues|Pituitary Hormones|Pituitary Hormones, Anterior|Recombinant Human Growth Hormone|Somatotropin Agonists|Somatropin and Somatropin Agonists|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins
DB00053	Imiglucerase	biotech	approved	Alimentary Tract and Metabolism|Enzyme Replacement Therapy|Enzymes|Enzymes and Coenzymes|Gaucher Disease|Glucosidases|Glycoside Hydrolases|Hydrolases|Hydrolytic Lysosomal Glucocerebroside-specific Enzyme|Recombinant Proteins
DB00054	Abciximab	biotech	approved	Amino Acids, Peptides, and Proteins|Antibodies|Anticoagulants|Antiplatelet agents|Blood and Blood Forming Organs|Blood Proteins|Fibrinolytic Agents|Globulins|Hematologic Agents|Immunoglobulin Fragments|Immunoglobulins|Immunoproteins|Miscellaneous Therapeutic Agents|Peptide Fragments|Peptides|Platelet Aggregation Inhibitors Excl. Heparin|Platelet Glycoprotein GPIIb-IIIa Complex, antagonists & inhibitors|Proteins|Serum Globulins
DB00055	Drotrecogin alfa	biotech	approved|investigational|withdrawn	Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Anticoagulants|Biological Factors|Blood and Blood Forming Organs|Blood Coagulation Factor Inhibitors|Blood Proteins|Carbohydrates|Enzyme Precursors|Enzymes|Enzymes and Coenzymes|Fibrinolytic Agents|Glycoconjugates|Glycoproteins|Proteins|Recombinant Activated Protein C
DB00056	Gemtuzumab ozogamicin	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Blood Proteins|Carbohydrates|CD33-directed Antibody Interactions|CD33-directed Cytotoxin|Globulins|Glycosides|Immunoconjugates|Immunoglobulins|Immunoproteins|Immunosuppressive Agents|Immunotoxins|Myelosuppressive Agents|Noxae|Proteins|Serum Globulins|Toxic Actions
DB00057	Indium In-111 satumomab pendetide	biotech	experimental|withdrawn	Acetates|Acids, Acyclic|Amines|Amino Acids, Peptides, and Proteins|Antibodies|Blood Proteins|Diagnostic Radiopharmaceuticals|Fatty Acids|Fatty Acids, Volatile|Globulins|Immunoglobulins|Immunoproteins|Indium (111In) Compounds|Indium Radioisotopes|Lipids|Peptides|Polyamines|Proteins|Serum Globulins|Tumour Detection
DB00058	Alpha-1-proteinase inhibitor	biotech	approved	Acute-Phase Proteins|Alpha-Globulins|Amino Acids, Peptides, and Proteins|Antifibrinolytic Agents|Blood and Blood Forming Organs|Blood Proteins|Carbohydrates|Enzyme Inhibitors|Enzymes|Globulins|Glycoconjugates|Glycoproteins|Hemostatics|Human alpha-1 Proteinase Inhibitor|Peptides|Proteinase Inhibitors|Proteins|Serine Proteinase Inhibitors|Serpins|Serum Globulins|Trypsin Inhibitors
DB00059	Pegaspargase	biotech	approved|investigational	Alcohols|Amidohydrolases|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Asparaginase|Asparagine-specific Enzyme|Biomedical and Dental Materials|Delayed-Action Preparations|Enzymes|Enzymes and Coenzymes|Enzymes, Immobilized|Ethylene Glycols|Glycols|Hydrolases|Immunosuppressive Agents|Macromolecular Substances|Pegylated agents|Polymers
DB00060	Interferon beta-1a	biotech	approved|investigational	Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Biological Factors|Cytokines|Immunologic Factors|Immunomodulatory Agents|Intercellular Signaling Peptides and Proteins|Interferon Type I|Interferon-beta|Interferons|Peptides|Proteins|Recombinant Human Interferon beta
DB00061	Pegademase bovine	biotech	approved	Aminohydrolases|Bovine Intestinal Adenosine Deaminase|Drug Carriers|Enzymes|Enzymes and Coenzymes|Hydrolases|Nucleoside Deaminases|Pegylated agents|Severe Combined Immunodeficiency
DB00062	Human Serum Albumin	biotech	approved	Albumins|Amino Acids, Peptides, and Proteins|Blood Derivatives|Blood Proteins|Cardiac Function|Diluents|Human Serum Albumin|Increased Intravascular Volume|Increased Oncotic Pressure|Osmotic Activity|Proteins|Serum Albumin
DB00063	Eptifibatide	biotech	approved|investigational	Amino Acids, Peptides, and Proteins|Antiplatelet agents|Blood and Blood Forming Organs|Decreased Platelet Aggregation|Hematologic Agents|Platelet Aggregation Inhibitors Excl. Heparin|Platelet Glycoprotein GPIIb-IIIa Complex, antagonists & inhibitors
DB00065	Infliximab	biotech	approved	Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antineoplastic and Immunomodulating Agents|Biologics for Rheumatoid Arthritis Treatment|Blood Proteins|Dermatologicals|Disease-modifying Antirheumatic Agents|Gastrointestinal Agents|Globulins|Immunoglobulins|Immunoproteins|Immunosuppressive Agents|Proteins|Serum Globulins|Tumor Necrosis Factor Alpha (TNF-α) Inhibitors|Tumor Necrosis Factor Blocker|Tumor Necrosis Factor Receptor Blocking Activity
DB00066	Follitropin	biotech	approved	Amino Acids, Peptides, and Proteins|Chorionic Gonadotropin|Follicle Stimulating Hormone|Genito Urinary System and Sex Hormones|Gonadotropins|Gonadotropins, Pituitary|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Luteinizing Hormone|Peptide Hormones|Peptides|Pituitary Hormones|Pituitary Hormones, Anterior|Placental Hormones|Pregnancy Proteins|Proteins|Sex Hormones and Modulators of the Genital System|Thyroid Products
